sales_agent,account,product,order_value,create_date
Kami Bicknell,Sunnamplex,GTXPro,5073,2017-04-01
Kary Hendrixson,Konex,GTX Basic,609,2017-04-02
Kary Hendrixson,Goodsilron,MG Special,55,2017-04-01
Maureen Marcano,Condax,GTX Plus Pro,5637,2017-04-10
Maureen Marcano,Plexzap,GTX Plus Pro,5793,2017-04-11
Rosalina Dieter,Hottechi,GTX Basic,520,2017-04-07
Rosalina Dieter,Finjob,MG Advanced,4080,2017-04-02
Vicki Laflamme,Sunnamplex,MG Advanced,3367,2017-04-12
Zane Levy,Dalttechnology,GTX Basic,430,2017-04-06
Darcel Schlecht,Bioholding,GTX Plus Pro,5798,2017-04-08
Darcel Schlecht,Betatech,GTXPro,4685,2017-04-10
Jonathan Berthelot,Dontechi,GTX Basic,565,2017-04-08
Markita Hansen,J-Texon,MG Advanced,3817,2017-04-06
Niesha Huffines,Hottechi,GTX Basic,531,2017-04-10
Rosalina Dieter,Blackzim,MG Special,51,2017-04-07
Versie Hillebrand,Stanredtax,MG Special,60,2017-04-02
Cecily Lampkin,Domzoom,MG Advanced,3343,2017-04-10
Darcel Schlecht,Bioholding,MG Advanced,3263,2017-04-11
Elease Gluck,Fasehatice,GTX Plus Basic,976,2017-04-08
Garret Kinder,Plussunin,GTXPro,4746,2017-04-09
Gladys Colclough,Codehow,GTX Basic,507,2017-04-11
James Ascencio,Fasehatice,GTXPro,5693,2017-04-09
Kary Hendrixson,Cheers,GTX Basic,488,2017-04-10
Marty Freudenburg,Funholding,GTX Plus Basic,949,2017-04-11
Maureen Marcano,Faxquote,GTX Plus Basic,882,2017-04-04
Rosie Papadopoulos,Kinnamplus,GTXPro,3731,2017-04-12
Zane Levy,Sunnamplex,GTXPro,4444,2017-04-03
Corliss Cosme,Betasoloin,MG Advanced,2794,2017-04-10
Darcel Schlecht,Rangreen,MG Special,53,2017-04-09
Darcel Schlecht,Globex Corporation,MG Advanced,3141,2017-04-13
Donn Cantrell,Iselectrics,GTX Plus Pro,5691,2017-04-14
Elease Gluck,Nam-zim,MG Special,52,2017-04-07
Gladys Colclough,Betatech,GTX Basic,532,2017-04-05
Gladys Colclough,Isdom,GTXPro,5615,2017-04-04
Kami Bicknell,J-Texon,GTX Basic,565,2017-04-12
Reed Clapper,Yearin,GTXPro,3991,2017-04-14
Vicki Laflamme,J-Texon,GTX Basic,456,2017-04-15
Anna Snelling,Domzoom,GTX Basic,582,2017-04-11
Anna Snelling,Domzoom,MG Special,59,2017-04-12
Boris Faz,Donquadtech,MG Advanced,3259,2017-04-09
Corliss Cosme,Vehement Capital Partners,GTX Basic,593,2017-04-11
Jonathan Berthelot,Konmatfix,GTXPro,5063,2017-04-06
Jonathan Berthelot,Streethex,GTXPro,5032,2017-04-10
Kami Bicknell,Scotfind,GTXPro,4449,2017-04-06
Markita Hansen,Scotfind,MG Special,57,2017-04-08
Maureen Marcano,Rantouch,GTX Plus Basic,1181,2017-04-11
Versie Hillebrand,Isdom,MG Special,54,2017-04-06
Anna Snelling,Betatech,MG Special,57,2017-04-14
Corliss Cosme,Bubba Gump,GTX Plus Basic,1083,2017-04-10
Darcel Schlecht,Treequote,GTXPro,5647,2017-04-06
Donn Cantrell,Plussunin,MG Special,50,2017-04-14
Kary Hendrixson,Green-Plus,GTX Basic,450,2017-04-06
Reed Clapper,Bioplex,GTX Plus Pro,5095,2017-04-12
Violet Mclelland,Gekko & Co,MG Special,45,2017-04-07
Darcel Schlecht,Rundofase,MG Special,64,2017-04-14
Donn Cantrell,Plussunin,MG Advanced,3655,2017-04-15
Kary Hendrixson,Plexzap,GTX Plus Pro,6154,2017-04-07
Kary Hendrixson,Cheers,GTXPro,4756,2017-04-12
Zane Levy,Dalttechnology,GTXPro,4168,2017-04-12
Anna Snelling,Warephase,GTX Basic,596,2017-04-08
Boris Faz,Zotware,MG Special,59,2017-04-15
Corliss Cosme,Konex,GTX Plus Pro,5684,2017-04-15
Darcel Schlecht,Gogozoom,GTXPro,4413,2017-04-15
Donn Cantrell,Mathtouch,GTXPro,4152,2017-04-13
Jonathan Berthelot,Warephase,GTX Plus Basic,1091,2017-04-09
Jonathan Berthelot,Zumgoity,GTX Plus Basic,1189,2017-04-17
Markita Hansen,Condax,GTX Basic,522,2017-04-13
Maureen Marcano,Rantouch,GTX Plus Basic,1109,2017-04-08
Moses Frase,Genco Pura Olive Oil Company,GTX Plus Pro,4659,2017-04-13
Anna Snelling,Stanredtax,GTX Plus Basic,1142,2017-04-15
Darcel Schlecht,Funholding,GTXPro,5678,2017-04-09
Hayden Neloms,Scotfind,GTX Plus Pro,4761,2017-04-10
Hayden Neloms,Newex,MG Advanced,3224,2017-04-14
Kami Bicknell,Sunnamplex,GTX Basic,501,2017-04-17
Lajuana Vencill,Statholdings,MG Advanced,3532,2017-04-17
Maureen Marcano,Xx-holding,GTXPro,4320,2017-04-12
Rosie Papadopoulos,Xx-zobam,GTXPro,5217,2017-04-09
Vicki Laflamme,Konex,GTX Plus Pro,5848,2017-04-16
Zane Levy,Xx-holding,GTX Plus Pro,5884,2017-04-17
Cassey Cress,Konex,GTX Basic,598,2017-04-20
Cassey Cress,Initech,MG Advanced,3275,2017-04-16
Darcel Schlecht,Ron-tech,GTXPro,4978,2017-04-18
Gladys Colclough,Inity,MG Advanced,3077,2017-04-14
Hayden Neloms,Hottechi,GTX Plus Basic,974,2017-04-17
Kami Bicknell,Cheers,GTX Plus Basic,915,2017-04-10
Marty Freudenburg,Inity,GTX Plus Basic,1204,2017-04-10
Niesha Huffines,Konmatfix,GTX Plus Basic,970,2017-04-10
Reed Clapper,Betasoloin,GTX Basic,575,2017-04-16
Cecily Lampkin,Isdom,MG Advanced,3409,2017-04-18
Daniell Hammack,Xx-zobam,GTXPro,5000,2017-04-11
Darcel Schlecht,Gogozoom,GTX Plus Pro,4955,2017-04-16
Darcel Schlecht,Condax,GTXPro,5065,2017-04-17
Darcel Schlecht,Globex Corporation,GTXPro,4343,2017-04-17
Darcel Schlecht,Stanredtax,GTXPro,3892,2017-04-20
Kami Bicknell,Kan-code,GTX Basic,533,2017-04-16
Kami Bicknell,Cheers,GTX Plus Basic,1290,2017-04-13
Lajuana Vencill,Gogozoom,MG Special,47,2017-04-18
Reed Clapper,The New York Inquirer,GTXPro,4136,2017-04-20
Versie Hillebrand,Rundofase,MG Special,62,2017-04-18
Zane Levy,Goodsilron,GTX Basic,467,2017-04-11
Daniell Hammack,Ontomedia,MG Special,52,2017-04-13
Darcel Schlecht,Condax,GTXPro,4837,2017-04-18
Elease Gluck,Xx-holding,GTX Plus Basic,1163,2017-04-13
Kary Hendrixson,Doncon,GTX Basic,568,2017-04-18
Niesha Huffines,Gogozoom,GTX Basic,504,2017-04-12
Niesha Huffines,Gogozoom,MG Special,55,2017-04-13
Violet Mclelland,Massive Dynamic,MG Special,55,2017-04-12
Boris Faz,Konex,MG Advanced,3223,2017-04-22
Cassey Cress,Zathunicon,GTX Basic,553,2017-04-19
Cassey Cress,Gekko & Co,GTX Plus Basic,1114,2017-04-14
Cecily Lampkin,dambase,MG Advanced,3785,2017-04-20
Donn Cantrell,Yearin,GTXPro,5316,2017-04-13
Kami Bicknell,Y-corporation,GTX Basic,478,2017-04-13
Kami Bicknell,Finjob,GTXPro,5672,2017-04-22
Kami Bicknell,Goodsilron,MG Special,51,2017-04-19
Kami Bicknell,Konex,MG Advanced,3141,2017-04-19
Vicki Laflamme,J-Texon,MG Special,50,2017-04-23
Zane Levy,Hatfan,GTXPro,4272,2017-04-22
Anna Snelling,Inity,MG Special,58,2017-04-15
Boris Faz,Ontomedia,GTX Plus Basic,1088,2017-04-14
Darcel Schlecht,Domzoom,GTX Plus Basic,1327,2017-04-19
Darcel Schlecht,Scottech,GTX Plus Basic,1058,2017-04-23
Darcel Schlecht,Streethex,GTX Plus Pro,5220,2017-04-21
Gladys Colclough,Ron-tech,MG Special,55,2017-04-22
James Ascencio,Golddex,GTX Plus Basic,996,2017-04-20
Kami Bicknell,Hottechi,GTX Basic,543,2017-04-22
Versie Hillebrand,Bioholding,MG Special,56,2017-04-22
Corliss Cosme,Massive Dynamic,GTX Plus Basic,1033,2017-04-23
Darcel Schlecht,Finhigh,MG Special,53,2017-04-22
Elease Gluck,J-Texon,GTX Basic,597,2017-04-16
Gladys Colclough,Stanredtax,MG Special,57,2017-04-15
Hayden Neloms,Scotfind,MG Advanced,2997,2017-04-24
Jonathan Berthelot,Zumgoity,GTX Basic,565,2017-04-25
Jonathan Berthelot,Treequote,MG Special,54,2017-04-24
Kami Bicknell,Sunnamplex,GTXPro,4991,2017-04-21
Vicki Laflamme,Hottechi,MG Special,59,2017-04-20
Anna Snelling,Statholdings,GTX Plus Pro,5082,2017-04-16
Boris Faz,Iselectrics,GTX Plus Pro,5293,2017-04-24
Donn Cantrell,Ganjaflex,MG Special,49,2017-04-16
Zane Levy,Konex,GTX Plus Pro,4687,2017-04-20
Cassey Cress,Zencorporation,GTXPro,4852,2017-04-27
Daniell Hammack,Donquadtech,GTXPro,5104,2017-04-17
Garret Kinder,Konex,GTXPro,3930,2017-04-23
Gladys Colclough,Domzoom,GTX Plus Basic,1055,2017-04-22
Jonathan Berthelot,Scottech,GTX Basic,538,2017-04-24
Jonathan Berthelot,Domzoom,MG Special,68,2017-04-23
Maureen Marcano,Newex,GTX Basic,572,2017-04-28
Maureen Marcano,Groovestreet,GTX Plus Basic,1234,2017-04-24
Anna Snelling,Warephase,MG Special,52,2017-04-26
Anna Snelling,Codehow,MG Advanced,3668,2017-04-24
Daniell Hammack,Plussunin,GTX Plus Basic,1310,2017-04-20
Darcel Schlecht,Warephase,GTX Plus Basic,1170,2017-04-25
Gladys Colclough,Genco Pura Olive Oil Company,GTXPro,4784,2017-04-24
James Ascencio,Goodsilron,GTXPro,5451,2017-04-24
Kami Bicknell,Faxquote,GTX Basic,527,2017-04-19
Kary Hendrixson,Fasehatice,GTX Plus Pro,5408,2017-04-19
Markita Hansen,Plexzap,GTX Basic,527,2017-04-24
Marty Freudenburg,dambase,GTX Plus Basic,1160,2017-04-23
Reed Clapper,Umbrella Corporation,GTX Basic,555,2017-04-19
Versie Hillebrand,Isdom,MG Special,62,2017-04-23
Violet Mclelland,Konex,MG Special,56,2017-04-25
Wilburn Farren,The New York Inquirer,MG Advanced,3490,2017-04-23
Anna Snelling,Betatech,MG Special,51,2017-04-25
Anna Snelling,Conecom,MG Special,56,2017-04-27
James Ascencio,Kan-code,MG Special,44,2017-04-29
Kami Bicknell,Doncon,GTX Basic,552,2017-04-24
Kary Hendrixson,Newex,GTX Basic,474,2017-04-26
Kary Hendrixson,Xx-holding,GTX Plus Basic,1158,2017-04-22
Kary Hendrixson,Faxquote,GTX Plus Pro,5839,2017-04-19
Kary Hendrixson,Xx-holding,GTXPro,5078,2017-04-24
Niesha Huffines,Inity,MG Advanced,3392,2017-04-19
Vicki Laflamme,Fasehatice,GTXPro,5040,2017-04-20
Zane Levy,Sonron,GTX Plus Pro,5853,2017-04-25
Anna Snelling,Scottech,MG Special,49,2017-04-25
Boris Faz,Gekko & Co,GTX Plus Basic,1080,2017-04-29
Cecily Lampkin,Konmatfix,MG Special,55,2017-04-20
Elease Gluck,Lexiqvolax,GTK 500,23746,2017-04-20
Reed Clapper,Opentech,MG Special,61,2017-04-27
Rosalina Dieter,Goodsilron,GTX Basic,600,2017-04-28
Rosie Papadopoulos,Opentech,GTX Plus Pro,5805,2017-04-20
Cassey Cress,Plussunin,GTXPro,5091,2017-04-25
Cassey Cress,Donquadtech,MG Special,59,2017-04-22
Darcel Schlecht,Rundofase,GTX Basic,549,2017-04-28
Jonathan Berthelot,Conecom,GTX Basic,657,2017-04-29
Jonathan Berthelot,Gogozoom,MG Special,56,2017-04-27
Kami Bicknell,Blackzim,GTX Basic,502,2017-04-28
Marty Freudenburg,Finhigh,MG Special,64,2017-04-28
Maureen Marcano,Scotfind,GTX Basic,579,2017-04-27
Maureen Marcano,Lexiqvolax,GTX Plus Pro,5958,2017-04-30
Versie Hillebrand,Genco Pura Olive Oil Company,GTX Plus Pro,4878,2017-04-27
Darcel Schlecht,Finhigh,MG Advanced,3269,2017-04-26
Donn Cantrell,Acme Corporation,GTXPro,4605,2017-04-27
Hayden Neloms,Labdrill,MG Advanced,3303,2017-04-30
Jonathan Berthelot,Streethex,MG Special,55,2017-04-22
Rosie Papadopoulos,Acme Corporation,MG Advanced,3850,2017-04-23
Wilburn Farren,Iselectrics,GTX Plus Pro,6263,2017-04-22
Zane Levy,Blackzim,GTX Basic,570,2017-04-23
Zane Levy,Dalttechnology,GTXPro,4633,2017-04-29
Cassey Cress,The New York Inquirer,GTXPro,4891,2017-04-28
Darcel Schlecht,Streethex,GTX Plus Pro,5858,2017-04-29
Kary Hendrixson,Y-corporation,GTX Basic,500,2017-04-30
Kary Hendrixson,Kan-code,MG Advanced,3546,2017-04-23
Markita Hansen,Dalttechnology,GTX Basic,525,2017-04-30
Moses Frase,Conecom,GTX Plus Basic,1024,2017-04-27
Niesha Huffines,Streethex,GTX Plus Pro,6384,2017-04-30
Rosalina Dieter,Labdrill,MG Special,55,2017-04-28
Rosalina Dieter,Y-corporation,MG Advanced,3242,2017-04-30
Vicki Laflamme,Singletechno,GTXPro,4869,2017-04-28
Vicki Laflamme,Hottechi,MG Advanced,3661,2017-04-29
Zane Levy,Kan-code,GTXPro,5456,2017-04-29
Corliss Cosme,Zotware,GTX Plus Pro,5780,2017-04-24
Corliss Cosme,Zencorporation,GTXPro,5787,2017-04-30
Daniell Hammack,Bioplex,GTXPro,5149,2017-04-25
Donn Cantrell,Vehement Capital Partners,GTXPro,4810,2017-04-30
Gladys Colclough,Betatech,GTX Basic,560,2017-04-24
Kami Bicknell,Golddex,GTX Basic,592,2017-04-24
Kary Hendrixson,Doncon,GTX Basic,529,2017-04-29
Kary Hendrixson,J-Texon,GTXPro,5415,2017-04-26
Niesha Huffines,Genco Pura Olive Oil Company,GTX Basic,554,2017-04-24
Rosalina Dieter,Blackzim,MG Special,59,2017-04-30
Anna Snelling,Ron-tech,MG Special,62,2017-04-25
Darcel Schlecht,Domzoom,GTX Plus Pro,5029,2017-04-29
Jonathan Berthelot,Globex Corporation,GTX Basic,580,2017-04-26
Markita Hansen,J-Texon,GTX Plus Basic,788,2017-04-29
Reed Clapper,Vehement Capital Partners,GTXPro,4980,2017-04-25
Boris Faz,Zencorporation,GTX Basic,560,2017-04-27
Maureen Marcano,Y-corporation,GTX Plus Basic,1113,2017-04-26
Zane Levy,Rantouch,GTX Basic,464,2017-04-27
Elease Gluck,Faxquote,MG Special,43,2017-04-28
James Ascencio,Golddex,MG Special,49,2017-04-28
Lajuana Vencill,Stanredtax,GTX Basic,517,2017-04-27
Rosalina Dieter,Condax,MG Special,53,2017-04-28
Vicki Laflamme,Newex,GTXPro,4735,2017-04-27
Boris Faz,Konex,GTX Basic,584,2017-04-29
Daniell Hammack,Konex,GTXPro,5676,2017-04-28
Versie Hillebrand,Treequote,MG Special,60,2017-04-29
Violet Mclelland,Plussunin,GTX Plus Basic,1146,2017-04-28
