account,opportunity_id,sales_agent,deal_stage,product,created_date,close_date,close_value
Konmatfix,CZVN09WN,Darcel Schlecht,Won,GTX Plus Basic,2016-11-14,2017-03-20,1170
,EG7OFLFR,Kami Bicknell,In Progress,GTX Basic,2016-11-14,,
Genco Pura Olive Oil Company,30UQWUKB,Marty Freudenburg,Won,GTX Plus Basic,2016-11-15,2017-03-20,1162
,OLVI7L8M,Cassey Cress,In Progress,GTXPro,2016-11-16,,
Conecom,97UN20YY,Darcel Schlecht,Won,MG Advanced,2016-11-16,2017-03-14,3725
Golddex,JXLERZ9O,Kary Hendrixson,Won,GTX Basic,2016-11-16,2017-03-31,559
Plexzap,6ROE69W5,Rosalina Dieter,Lost,GTX Basic,2016-11-16,2017-03-11,0
Rundofase,0DFXFKT7,Darcel Schlecht,Lost,GTX Plus Basic,2016-11-17,2017-03-21,0
Sonron,XKMZVSN4,James Ascencio,Won,GTX Plus Pro,2016-11-17,2017-03-05,4667
Finhigh,IU8V0BZK,Marty Freudenburg,Won,GTX Plus Basic,2016-11-17,2017-03-17,903
Finjob,XY42936P,Maureen Marcano,Won,GTX Plus Basic,2016-11-17,2017-03-13,1180
Ron-tech,XRN54MBM,Niesha Huffines,Won,GTX Basic,2016-11-17,2017-03-05,487
Stanredtax,2V848WZD,Lajuana Vencill,Won,MG Advanced,2016-11-18,2017-03-04,3180
Funholding,ONYNTUCG,Darcel Schlecht,Lost,GTXPro,2016-11-19,2017-03-17,0
Gogozoom,HIOHX80Y,Darcel Schlecht,Won,MG Advanced,2016-11-19,2017-03-18,3563
,F5U1ACDD,Kami Bicknell,In Progress,GTX Plus Basic,2016-11-19,,
Opentech,LPKT07PV,Boris Faz,Won,GTXPro,2016-11-20,2017-03-23,4704
Silis,WPB2SLIG,Donn Cantrell,Won,GTX Plus Pro,2016-11-20,2017-03-14,5585
Zoomit,XUSUEAV7,Elease Gluck,Won,GTK 500,2016-11-20,2017-03-09,25897
,ZZY4516R,Hayden Neloms,In Progress,MG Advanced,2016-11-20,,
Goodsilron,3TYPII47,Kami Bicknell,Won,GTX Plus Basic,2016-11-20,2017-03-03,1207
Cancity,7WAX8Z8O,Lajuana Vencill,Lost,MG Advanced,2016-11-20,2017-03-08,0
Rangreen,MYDUMR3R,Lajuana Vencill,Won,GTX Basic,2016-11-20,2017-03-04,559
Green-Plus,0DRC1U9Q,Maureen Marcano,In Progress,GTX Basic,2016-11-20,,
dambase,37JFKD4I,Niesha Huffines,Won,GTX Plus Basic,2016-11-20,2017-03-09,1033
Kan-code,25YKPHX8,Donn Cantrell,Won,GTX Basic,2016-11-21,2017-03-21,462
Nam-zim,BXXMA7F3,Hayden Neloms,Lost,MG Advanced,2016-11-21,2017-03-01,0
Y-corporation,GIUUTBXM,Kary Hendrixson,Won,GTXPro,2016-11-21,2017-03-14,5539
Ron-tech,MFX2LR1Q,Lajuana Vencill,Won,MG Advanced,2016-11-21,2017-03-15,3573
Conecom,DUHE9FLY,Marty Freudenburg,Won,GTXPro,2016-11-21,2017-03-01,4926
Sunnamplex,96BSG7R1,Zane Levy,Lost,GTX Plus Basic,2016-11-21,2017-03-17,0
Bioplex,7FQMSWIX,Corliss Cosme,Won,MG Special,2016-11-22,2017-03-04,62
Gogozoom,C20AVXN7,Darcel Schlecht,Won,GTXPro,2016-11-22,2017-03-14,4359
Plusstrip,GS1QVWCR,Kami Bicknell,Won,GTX Basic,2016-11-22,2017-03-31,566
Toughzap,ZWH8FXY3,Marty Freudenburg,Won,GTX Basic,2016-11-22,2017-03-03,508
Vehement Capital Partners,2U94Y3Q9,Rosie Papadopoulos,Lost,MG Advanced,2016-11-22,2017-03-20,0
Codehow,AAR79NOO,Versie Hillebrand,Won,MG Special,2016-11-22,2017-03-11,51
Dalttechnology,B6B0PNR2,Vicki Laflamme,Won,GTXPro,2016-11-22,2017-03-05,4899
Cheers,M7I5O9YU,Corliss Cosme,In Progress,GTX Basic,2016-11-23,,
Ontomedia,LXZA2OSZ,Corliss Cosme,Won,GTX Plus Pro,2016-11-23,2017-03-03,5790
Kinnamplus,N0ONCYVZ,Donn Cantrell,Lost,MG Special,2016-11-23,2017-03-30,0
,GYB4W2AU,Elease Gluck,In Progress,MG Advanced,2016-11-23,,
Codehow,513DPFX5,Gladys Colclough,Won,GTXPro,2016-11-23,2017-03-03,4438
Finhigh,RU023K5W,Gladys Colclough,Won,MG Advanced,2016-11-23,2017-03-17,2972
Lexiqvolax,VDIU10RV,Markita Hansen,In Progress,MG Special,2016-11-23,,
Y-corporation,BZCBQ514,Markita Hansen,Won,GTX Basic,2016-11-23,2017-03-01,523
Statholdings,HEE6P0QH,Anna Snelling,Won,MG Advanced,2016-11-24,2017-03-25,3647
Umbrella Corporation,L8CHRJ2B,Cassey Cress,Won,MG Advanced,2016-11-24,2017-03-01,4200
J-Texon,579LZ3F9,Daniell Hammack,In Progress,GTX Plus Basic,2016-11-24,,
Bubba Gump,SU8JNMP4,Kami Bicknell,In Progress,GTX Plus Basic,2016-11-24,,
Faxquote,V2X2KMUR,Kami Bicknell,Won,GTX Plus Basic,2016-11-24,2017-03-28,1059
Codehow,AJIPJP75,Marty Freudenburg,Lost,GTX Plus Basic,2016-11-24,2017-03-05,0
Dontechi,NYVA2G6U,Versie Hillebrand,Won,MG Special,2016-11-24,2017-03-02,57
Konex,FF45BXTL,Vicki Laflamme,Won,MG Advanced,2016-11-24,2017-03-27,3671
Treequote,TTA9LYBS,Anna Snelling,Won,MG Special,2016-11-25,2017-03-01,58
Treequote,PAGZQH8L,Cecily Lampkin,Won,MG Advanced,2016-11-25,2017-03-06,3956
Betasoloin,J7YF6DS7,Corliss Cosme,Won,GTX Plus Pro,2016-11-25,2017-03-01,5964
Betasoloin,S5IXY4Z9,Corliss Cosme,Won,GTXPro,2016-11-25,2017-03-06,4570
Domzoom,JQBJMETQ,Darcel Schlecht,Won,MG Special,2016-11-25,2017-03-27,49
Donquadtech,0LVWSWEW,Violet Mclelland,Won,MG Special,2016-11-25,2017-03-06,65
Domzoom,K53BC1T9,Anna Snelling,Lost,MG Special,2016-11-26,2017-03-27,0
Finhigh,D40N5I9Y,Darcel Schlecht,Won,GTXPro,2016-11-26,2017-03-08,4739
Globex Corporation,051QTX8Z,Niesha Huffines,Won,GTX Plus Basic,2016-11-26,2017-03-21,1080
Plussunin,5D2XH04S,Reed Clapper,Won,MG Special,2016-11-26,2017-03-12,57
Konex,V9E582SK,Garret Kinder,Won,GTX Basic,2016-11-27,2017-03-16,469
Condax,UK0LEZRJ,Kary Hendrixson,Won,GTX Basic,2016-11-27,2017-03-03,532
Opentech,PFFHM7HR,Markita Hansen,In Progress,MG Advanced,2016-11-27,,
Konex,IT10CFQH,Rosalina Dieter,Won,GTX Basic,2016-11-27,2017-03-26,538
Massive Dynamic,8VKD2CCH,Rosie Papadopoulos,Won,GTXPro,2016-11-27,2017-03-21,4829
Doncon,2XQAKBXH,Zane Levy,Won,GTX Plus Pro,2016-11-27,2017-03-11,5370
Hatfan,7G7YLGJO,Zane Levy,Won,GTX Plus Pro,2016-11-27,2017-03-21,6499
Genco Pura Olive Oil Company,GCA97W27,Darcel Schlecht,Won,GTX Plus Basic,2016-11-28,2017-03-06,1161
Scotfind,K8FUZHOG,Kary Hendrixson,Won,GTX Basic,2016-11-28,2017-03-26,576
Hatfan,5WJZMULK,Maureen Marcano,Won,GTX Plus Basic,2016-11-28,2017-03-19,979
Stanredtax,ZPYD4T9W,Versie Hillebrand,Won,MG Special,2016-11-28,2017-03-07,43
Scottech,KE9ZEDS8,Gladys Colclough,Won,MG Special,2016-11-29,2017-03-07,57
Ron-tech,7KK0HQ4C,Lajuana Vencill,Lost,MG Special,2016-11-29,2017-03-28,0
Funholding,FP7014Z0,Lajuana Vencill,Won,GTX Plus Basic,2016-11-29,2017-03-12,948
Plussunin,N4HFHDMW,Wilburn Farren,Won,MG Advanced,2016-11-29,2017-03-10,3012
Zotware,2HFLKREC,Cassey Cress,Won,MG Advanced,2016-11-30,2017-03-15,3665
Gekko & Co,7JVTTVCO,Violet Mclelland,Won,GTX Basic,2016-11-30,2017-03-24,564
dambase,3X13866U,Anna Snelling,Lost,GTX Plus Basic,2016-12-01,2017-03-06,0
Initech,7LE19SYE,Cassey Cress,Won,MG Advanced,2016-12-01,2017-03-22,3463
Gekko & Co,J5V2M7Y1,Corliss Cosme,Won,GTX Basic,2016-12-01,2017-03-26,513
Konex,41MURAI5,Corliss Cosme,Won,GTX Basic,2016-12-01,2017-03-28,590
Dontechi,QHI8WRIA,Darcel Schlecht,Won,GTXPro,2016-12-01,2017-03-30,4511
Finhigh,AJXAXV4W,Lajuana Vencill,Lost,MG Advanced,2016-12-01,2017-03-02,0
Cancity,VPDXX5PJ,Niesha Huffines,Won,GTX Basic,2016-12-01,2017-03-26,546
Y-corporation,PZB9NUK8,Vicki Laflamme,Won,MG Special,2016-12-01,2017-03-05,46
Ron-tech,A0ANOYPF,Darcel Schlecht,Won,GTXPro,2016-12-02,2017-03-09,4891
Golddex,0P4AAPYX,Hayden Neloms,Won,GTX Plus Basic,2016-12-02,2017-03-03,1040
Sonron,O6T5WC3W,Hayden Neloms,Won,GTX Plus Basic,2016-12-02,2017-03-04,1108
Nam-zim,0NO04P6C,Hayden Neloms,Won,MG Special,2016-12-02,2017-03-04,59
Statholdings,22OFSXBT,Jonathan Berthelot,Won,GTXPro,2016-12-02,2017-03-30,5406
Cheers,MRXZTMM6,Kary Hendrixson,Won,GTX Basic,2016-12-02,2017-03-20,515
Treequote,LGI8QEC2,Moses Frase,Won,GTX Basic,2016-12-02,2017-03-06,583
Funholding,6KZ0NCFX,Versie Hillebrand,Won,MG Special,2016-12-02,2017-03-14,54
Plusstrip,3SF8O9S6,Vicki Laflamme,Won,MG Special,2016-12-02,2017-03-27,60
,CNM0H9FR,Zane Levy,In Progress,GTX Basic,2016-12-02,,
Dontechi,XK668R7C,Darcel Schlecht,Lost,GTX Basic,2016-12-03,2017-03-12,0
Funholding,TZCAQWL3,Darcel Schlecht,Lost,GTXPro,2016-12-03,2017-03-19,0
Globex Corporation,BADC6A9H,Darcel Schlecht,Won,GTX Basic,2016-12-03,2017-03-23,516
Rangreen,B8E0UUZR,Darcel Schlecht,Won,GTXPro,2016-12-03,2017-03-22,4829
Dontechi,I043RXJV,Moses Frase,Lost,GTX Plus Basic,2016-12-03,2017-03-17,0
Donquadtech,MWWB44CC,Reed Clapper,Won,GTX Plus Basic,2016-12-03,2017-03-02,950
Xx-holding,HBTINPDG,Vicki Laflamme,Lost,GTX Plus Basic,2016-12-03,2017-03-09,0
Initech,DZ3KHZSX,Corliss Cosme,Won,GTX Basic,2016-12-04,2017-03-20,513
Condax,3W1K7X5F,Darcel Schlecht,Lost,GTXPro,2016-12-04,2017-03-09,0
Ron-tech,45A57X68,Darcel Schlecht,Won,GTX Plus Pro,2016-12-04,2017-03-12,5522
Cancity,9SLYC4TR,Gladys Colclough,Won,MG Special,2016-12-04,2017-03-09,56
Doncon,JLWKWQYC,James Ascencio,Won,GTXPro,2016-12-04,2017-03-08,5673
Xx-holding,7QC6FOKW,Kami Bicknell,Won,GTX Basic,2016-12-04,2017-03-10,598
Rangreen,XA184CMW,Marty Freudenburg,Won,GTX Plus Pro,2016-12-04,2017-03-16,5787
Singletechno,S0N7BYU3,Maureen Marcano,Won,GTX Plus Basic,2016-12-04,2017-03-08,1070
Donquadtech,6WOMHAJM,Boris Faz,Won,MG Advanced,2016-12-05,2017-03-14,3677
Ontomedia,G1QGATKV,Cassey Cress,Won,GTX Plus Pro,2016-12-05,2017-03-30,5425
,UAE5ZC7O,Daniell Hammack,In Progress,GTX Plus Pro,2016-12-05,,
Yearin,6XFVQI32,Donn Cantrell,Won,MG Advanced,2016-12-05,2017-03-23,3415
,JUCNIG4H,James Ascencio,In Progress,GTX Basic,2016-12-05,,
Lexiqvolax,OGD4MDJ9,Maureen Marcano,Won,GTX Plus Basic,2016-12-05,2017-03-21,891
Codehow,4NGBUZWJ,Lajuana Vencill,Won,GTX Basic,2016-12-06,2017-03-12,609
Plusstrip,EFG5DGV5,Markita Hansen,Won,MG Special,2016-12-06,2017-03-16,54
Labdrill,82MM4H33,Zane Levy,Won,GTX Plus Basic,2016-12-06,2017-03-09,1049
Gekko & Co,14PM641K,Cassey Cress,Won,GTX Plus Basic,2016-12-07,2017-03-07,1152
Plussunin,DSBGHOPN,Daniell Hammack,Lost,MG Special,2016-12-07,2017-03-20,0
Umbrella Corporation,1YSOZLHF,Daniell Hammack,Won,GTXPro,2016-12-07,2017-03-28,4799
dambase,E8RP9FRW,Gladys Colclough,Won,MG Special,2016-12-07,2017-03-12,51
J-Texon,787IRG9Q,Hayden Neloms,Won,MG Advanced,2016-12-07,2017-03-03,3426
Rangreen,0TUS4NAC,Jonathan Berthelot,Won,MG Special,2016-12-07,2017-03-11,51
Finjob,FAJTQMUM,Kami Bicknell,Won,GTX Basic,2016-12-07,2017-03-20,564
Isdom,TWF0J0DF,Cecily Lampkin,Won,GTX Plus Pro,2016-12-08,2017-03-01,5882
Stanredtax,ICMXZOVL,Daniell Hammack,In Progress,GTXPro,2016-12-08,,
Plussunin,UQ14O415,Donn Cantrell,Won,GTXPro,2016-12-08,2017-03-20,5059
,IBEUTCSW,James Ascencio,In Progress,MG Advanced,2016-12-08,,
,O3KC8QI8,Kami Bicknell,In Progress,GTX Plus Basic,2016-12-08,,
Singletechno,BOJSLNDG,Kami Bicknell,Won,MG Advanced,2016-12-08,2017-03-11,3388
,WALNFJ70,Kary Hendrixson,In Progress,GTX Plus Pro,2016-12-08,,
Zoomit,DASMR0EK,Markita Hansen,Won,GTX Plus Pro,2016-12-08,2017-03-10,5410
Zathunicon,A76M0OOH,Reed Clapper,Won,GTX Plus Basic,2016-12-08,2017-03-28,978
Scotfind,E1VKE2PH,Vicki Laflamme,Won,MG Special,2016-12-08,2017-03-26,54
Betatech,SKY95DVG,Anna Snelling,Lost,MG Special,2016-12-09,2017-03-22,0
Bubba Gump,V5OK4V5I,Cassey Cress,Won,GTX Basic,2016-12-09,2017-03-14,549
Mathtouch,GJ4L5HHN,Corliss Cosme,Won,GTX Plus Basic,2016-12-09,2017-03-14,1034
Vehement Capital Partners,9R8JWY3J,Donn Cantrell,Won,GTXPro,2016-12-09,2017-03-03,4998
Ontomedia,0EOFVU05,Donn Cantrell,Won,MG Advanced,2016-12-09,2017-03-28,3421
Doncon,HNHOPL7M,Kary Hendrixson,Won,GTX Plus Pro,2016-12-09,2017-03-04,5425
Dalttechnology,Y0NYI17R,Vicki Laflamme,Won,MG Special,2016-12-09,2017-03-15,55
Silis,R4F4RGAL,Violet Mclelland,Won,MG Advanced,2016-12-09,2017-03-14,3558
Plussunin,MNVMY83P,Cassey Cress,In Progress,GTXPro,2016-12-10,,
Blackzim,0ZHLQFGU,Kami Bicknell,Won,GTXPro,2016-12-10,2017-03-22,4839
Hottechi,40DPY158,Markita Hansen,Won,MG Special,2016-12-10,2017-03-25,47
Fasehatice,DP9E525R,Maureen Marcano,Won,GTX Plus Basic,2016-12-10,2017-03-24,1007
Inity,DBDUMQQK,Niesha Huffines,Won,MG Special,2016-12-10,2017-03-24,48
Treequote,CNBN12RL,Versie Hillebrand,Won,MG Special,2016-12-10,2017-03-07,49
Mathtouch,OXL0YWEE,Violet Mclelland,Won,GTX Basic,2016-12-10,2017-03-18,504
,ZOBJHMAF,Cassey Cress,In Progress,MG Advanced,2016-12-11,,
,KD6MB4AP,Elease Gluck,In Progress,MG Special,2016-12-11,,
Finhigh,5CSSZJF4,Jonathan Berthelot,Won,GTX Basic,2016-12-11,2017-03-21,543
Fasehatice,0XG8TOJF,Kary Hendrixson,Lost,GTX Plus Pro,2016-12-11,2017-03-18,0
Fasehatice,IIS0O91J,Kary Hendrixson,Won,GTXPro,2016-12-11,2017-03-28,5149
Treequote,2LP5SUR5,Lajuana Vencill,Lost,GTX Basic,2016-12-11,2017-03-09,0
Blackzim,PYZZ3IS6,Markita Hansen,Won,GTX Plus Basic,2016-12-11,2017-03-11,1043
Sumace,5I4K5TQE,Cassey Cress,Lost,GTX Plus Pro,2016-12-12,2017-03-09,0
Condax,RV3LPOYP,James Ascencio,Won,GTX Basic,2016-12-12,2017-03-29,437
,A194RP0I,Rosalina Dieter,In Progress,MG Advanced,2016-12-12,,
Kinnamplus,1HVNTEPV,Rosie Papadopoulos,Won,GTXPro,2016-12-12,2017-03-11,4465
Konex,LC85AQ1I,Vicki Laflamme,Won,GTX Basic,2016-12-12,2017-03-18,443
Sumace,TBV972NP,Violet Mclelland,Lost,MG Special,2016-12-12,2017-03-23,0
Betatech,EJMX0EIJ,Darcel Schlecht,Won,GTX Plus Pro,2016-12-13,2017-03-20,4278
Kinnamplus,VR9NYBOV,Garret Kinder,Won,MG Special,2016-12-13,2017-03-06,41
Isdom,3U25FK08,Jonathan Berthelot,Won,GTX Basic,2016-12-13,2017-03-28,519
,KV2OFRJT,Kami Bicknell,In Progress,GTXPro,2016-12-13,,
Kan-code,CRLK4Z1P,Maureen Marcano,Won,GTX Basic,2016-12-13,2017-03-04,524
Singletechno,OGENAT0L,Zane Levy,Won,GTX Basic,2016-12-13,2017-03-27,552
Konmatfix,F57JWIDF,Gladys Colclough,Won,GTX Plus Basic,2016-12-14,2017-03-02,970
,ERFRHR3Z,Hayden Neloms,In Progress,MG Advanced,2016-12-14,,
Hottechi,J53D8EOL,Kary Hendrixson,In Progress,GTX Plus Basic,2016-12-14,,
Hatfan,LF8JZ3Q5,Kary Hendrixson,Won,GTX Plus Basic,2016-12-14,2017-03-13,1046
Sunnamplex,MRGBSMQ5,Kary Hendrixson,Won,GTX Plus Basic,2016-12-14,2017-03-14,988
Codehow,CBAV8ZJL,Lajuana Vencill,Won,GTX Basic,2016-12-14,2017-03-22,547
,J32XDDAW,Markita Hansen,In Progress,GTX Basic,2016-12-14,,
Singletechno,NN4DWBVN,Maureen Marcano,Lost,GTXPro,2016-12-14,2017-03-04,0
Isdom,6JXHEZYK,Versie Hillebrand,Won,MG Special,2016-12-14,2017-03-31,54
Silis,WDHNR2EI,Violet Mclelland,Won,MG Special,2016-12-14,2017-03-20,57
Yearin,4K750D6F,Violet Mclelland,Won,MG Special,2016-12-14,2017-03-18,55
Stanredtax,94GI0ZJ7,Anna Snelling,Won,GTX Plus Pro,2016-12-15,2017-03-15,5765
Bioplex,TODG6DEK,Daniell Hammack,Won,GTX Basic,2016-12-15,2017-03-16,639
Labdrill,G0ECB8FS,Kary Hendrixson,Won,GTXPro,2016-12-15,2017-03-15,5100
,1ZDDZD8B,Markita Hansen,In Progress,MG Special,2016-12-15,,
Fasehatice,96MZYUY0,Vicki Laflamme,Won,GTXPro,2016-12-15,2017-03-07,4906
Genco Pura Olive Oil Company,EZVKSQ9C,Boris Faz,In Progress,GTX Plus Pro,2016-12-16,,
Domzoom,RJYG004O,Daniell Hammack,In Progress,GTX Basic,2016-12-16,,
Opentech,JZOKHHWN,Donn Cantrell,Won,GTX Plus Basic,2016-12-16,2017-03-07,1037
Plexzap,EH6I67I0,James Ascencio,Won,GTX Basic,2016-12-16,2017-03-15,537
Hatfan,JUUXF02Z,Kary Hendrixson,Won,GTXPro,2016-12-16,2017-03-09,4694
Konmatfix,OT87JDWO,Lajuana Vencill,Won,GTX Basic,2016-12-16,2017-03-24,560
dambase,YHKT6YJ7,Moses Frase,Won,GTX Basic,2016-12-16,2017-03-13,589
Mathtouch,H78I3TAY,Reed Clapper,Won,GTX Basic,2016-12-16,2017-03-14,493
Betatech,1ROC43JK,Versie Hillebrand,Won,MG Special,2016-12-16,2017-03-08,50
Y-corporation,LPZLQL48,Vicki Laflamme,Won,GTX Basic,2016-12-16,2017-03-28,492
,PYOFK7ZD,Cassey Cress,In Progress,GTX Basic,2016-12-17,,
,DWUXMAGZ,Corliss Cosme,In Progress,GTX Plus Pro,2016-12-17,,
Konex,3KR50X38,Corliss Cosme,Won,GTX Plus Basic,2016-12-17,2017-03-13,1255
Statholdings,Q3WLHRE9,Darcel Schlecht,Won,GTX Basic,2016-12-17,2017-03-04,463
Initech,IX7UEOAP,Donn Cantrell,Lost,GTX Plus Basic,2016-12-17,2017-03-27,0
Zencorporation,NQU62K1H,Donn Cantrell,Won,GTX Basic,2016-12-17,2017-03-12,605
Fasehatice,NAQKOU0T,Hayden Neloms,Won,GTX Plus Basic,2016-12-17,2017-03-20,1315
Zumgoity,I3V3GUAI,Lajuana Vencill,Won,GTX Basic,2016-12-17,2017-03-02,559
Rundofase,PN4VJDXY,Moses Frase,Won,GTX Basic,2016-12-17,2017-03-28,557
Vehement Capital Partners,K9D4DQ3R,Rosie Papadopoulos,Won,MG Special,2016-12-17,2017-03-02,48
Isdom,9X6V79KE,Versie Hillebrand,Won,GTX Plus Pro,2016-12-17,2017-03-25,6282
,6SN2RQJX,Vicki Laflamme,In Progress,MG Special,2016-12-17,,
Isdom,W1KLFNE4,Anna Snelling,Won,MG Advanced,2016-12-18,2017-03-02,3246
,NKPH3EFG,Cassey Cress,In Progress,MG Advanced,2016-12-18,,
Finhigh,GD2OCW12,Darcel Schlecht,Won,GTX Basic,2016-12-18,2017-03-14,514
Silis,6XO4RYXK,Donn Cantrell,Won,GTX Plus Basic,2016-12-18,2017-03-15,1132
Silis,18Y7GRPW,Garret Kinder,Won,GTX Plus Pro,2016-12-18,2017-03-21,5918
Hottechi,127ZPLXQ,Kary Hendrixson,Lost,GTXPro,2016-12-18,2017-03-18,0
Kan-code,U07C2HEG,Maureen Marcano,Lost,MG Special,2016-12-18,2017-03-14,0
Hatfan,RNTOJ78L,Rosalina Dieter,Lost,MG Special,2016-12-18,2017-03-13,0
Plexzap,N07K7DR7,Rosie Papadopoulos,In Progress,MG Special,2016-12-18,,
Gogozoom,NLB4D5BQ,Versie Hillebrand,Won,MG Advanced,2016-12-18,2017-03-24,2955
Fasehatice,FCFDJIEZ,Vicki Laflamme,Won,GTXPro,2016-12-18,2017-03-21,3742
Initech,YZGDW4G1,Violet Mclelland,Won,MG Special,2016-12-18,2017-03-14,64
Initech,G8AO5FA2,Wilburn Farren,Lost,MG Advanced,2016-12-18,2017-03-27,0
Warephase,125VIRMX,Elease Gluck,In Progress,GTK 500,2016-12-19,,
Scotfind,LXXW3TRW,Elease Gluck,Won,GTX Plus Basic,2016-12-19,2017-03-18,1164
Singletechno,8KJ3H262,Elease Gluck,Won,MG Special,2016-12-19,2017-03-07,65
Cancity,88POGNEL,Gladys Colclough,Lost,GTX Plus Basic,2016-12-19,2017-03-07,0
Groovestreet,UYP3NNU6,Kami Bicknell,Won,GTX Basic,2016-12-19,2017-03-16,441
Finhigh,S1V8684Y,Marty Freudenburg,Lost,GTX Plus Basic,2016-12-19,2017-03-12,0
Hatfan,MOPWEMB5,Vicki Laflamme,Won,GTXPro,2016-12-19,2017-03-16,4907
Isdom,L62MDI48,Anna Snelling,Lost,MG Advanced,2016-12-20,2017-03-01,0
,3ECHUPQY,Daniell Hammack,In Progress,GTX Plus Basic,2016-12-20,,
Codehow,3EL8D4WO,Darcel Schlecht,Won,MG Advanced,2016-12-20,2017-03-25,3269
Kinnamplus,VOAN1NXG,Donn Cantrell,Won,GTX Basic,2016-12-20,2017-03-12,579
Isdom,ALW92XQL,Gladys Colclough,Lost,GTX Basic,2016-12-20,2017-03-25,0
Dalttechnology,TJ6ZA1M3,Kary Hendrixson,Lost,GTX Basic,2016-12-20,2017-03-07,0
Xx-holding,FKAFO8O9,Kary Hendrixson,Won,MG Special,2016-12-20,2017-03-31,51
